CST,最高温度C,平均温度C,最低温度C,露点C,MeanDew PointC,Min DewpointC,Max 湿度, Mean 湿度, Min 湿度, Max 海平面气压hPa, Mean 海平面气压hPa, Min 海平面气压hPa, Max 能见度Km, Mean 能见度Km, Min 能见度kM, Max 风速Km/h, Mean 风速Km/h, Max 瞬间风速Km/h,降水量mm, CloudCover, 活动,WindDirDegrees
2016-1-1,14,7,1,7,3,-1,93,76,34,1034,1031,1026,6,3,1,14,5,,0.00,3,,157
2016-1-2,18,12,7,8,6,4,93,67,34,1026,1023,1020,8,5,2,14,6,,0.00,,,238
2016-1-3,20,14,9,11,9,7,94,75,41,1023,1021,1019,4,3,2,14,5,,0.25,4,中雨,71
2016-1-4,13,12,12,13,12,9,100,94,72,1022,1020,1019,3,1,0,11,5,,4.06,5,雾-中雨,25
2016-1-5,12,10,8,12,9,7,100,94,84,1026,1022,1017,11,3,0,26,11,,9.91,6,雾-中雨,25
2016-1-6,9,8,8,8,7,5,100,87,74,1030,1027,1024,5,4,2,18,11,,6.10,6,中雨,10
2016-1-7,10,8,6,6,5,4,87,77,65,1030,1028,1027,7,4,2,14,8,,2.03,6,,26
2016-1-8,7,6,4,5,2,0,93,77,54,1030,1028,1026,7,4,2,18,10,,0.51,5,中雨,3
2016-1-9,11,6,2,4,2,-3,100,73,40,1029,1026,1024,5,3,2,11,3,,1.02,3,中雨,105
2016-1-10,10,8,6,9,7,4,100,92,76,1025,1023,1022,5,2,0,14,5,,5.08,5,中雨,81
2016-1-11,9,7,6,9,7,4,100,95,88,1029,1024,1022,6,3,1,21,14,32,4.06,6,中雨,34
2016-1-12,6,4,3,5,2,0,93,81,69,1031,1029,1027,10,6,3,21,13,,0.76,6,中雨,11
2016-1-13,6,3,2,1,-1,-2,87,73,62,1030,1028,1026,7,5,3,14,10,,0.00,6,,10
2016-1-14,9,4,1,2,0,-2,100,69,35,1028,1025,1022,5,4,2,11,5,,0.00,5,中雨,79
2016-1-15,12,8,4,5,1,-3,93,66,35,1023,1021,1019,8,5,2,11,6,,0.00,6,中雨,192
2016-1-16,12,6,1,7,3,0,100,78,46,1022,1019,1015,6,4,0,21,8,,7.11,5,雾-中雨,110
2016-1-17,9,6,3,8,6,2,100,92,78,1021,1016,1013,5,3,0,18,11,,6.10,6,中雨,321
